class,count
Mains,1292
Pasta / Noodles / Rice,1204
Other,1004
Beverages (Non-Alcoholic),583
Soups,556
Breakfast & Brunch,522
Sides & Accompaniments,512
Snacks & Small Bites,382
Appetizers & Starters,274
Set Meals & Combos,256
Salads & Cold Dishes,248
Desserts & Sweets,207
Alcohol & Cocktails,110
