model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
Logistic Regression,0.4153846153846154,0.011949655587856689,0.40852435833912415,0.008312603950046585,0.4113651263378573,0.013235055189779058
Multinomial Naive Bayes,0.3883916083916084,0.008537198580157683,0.22896222414547873,0.007595327036987851,0.32996484460854225,0.008983781794175864
Random Forest,0.4152447552447553,0.008002640280234941,0.38234894980874046,0.003802817733840186,0.40458480028723853,0.00807187067773988
