model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
Logistic Regression,0.398041958041958,0.009003343742339076,0.3940095511948967,0.0037921648014584883,0.38906588527215313,0.011604489824080355
Multinomial Naive Bayes,0.36811188811188805,0.0071670646015770355,0.1687644627264099,0.008375053253492975,0.2981707299797763,0.010200193744423963
Random Forest,0.4044755244755245,0.010091274969257312,0.36317097399353193,0.01364617030566341,0.3985480759063721,0.011040982127410679
