model,class,precision,recall,f1,support
Logistic Regression,Alcohol & Cocktails,0.33879781420765026,0.5636363636363636,0.4232081911262799,110
Logistic Regression,Appetizers & Starters,0.27107438016528923,0.5985401459854015,0.3731513083048919,274
Logistic Regression,Beverages (Non-Alcoholic),0.48637015781922527,0.58147512864494,0.5296875,583
Logistic Regression,Breakfast & Brunch,0.6074766355140186,0.7471264367816092,0.6701030927835051,522
Logistic Regression,Desserts & Sweets,0.421455938697318,0.5314009661835749,0.4700854700854701,207
Logistic Regression,Mains,0.5516014234875445,0.35990712074303405,0.43559718969555034,1292
Logistic Regression,Other,0.41935483870967744,0.16832669322709162,0.24022743425728502,1004
Logistic Regression,Pasta / Noodles / Rice,0.5458612975391499,0.4053156146179402,0.4652049571020019,1204
Logistic Regression,Salads & Cold Dishes,0.1860986547085202,0.3346774193548387,0.23919308357348704,248
Logistic Regression,Set Meals & Combos,0.37283236994219654,0.50390625,0.42857142857142855,256
Logistic Regression,Sides & Accompaniments,0.27938931297709924,0.357421875,0.31362467866323906,512
Logistic Regression,Snacks & Small Bites,0.29740518962075846,0.3900523560209424,0.33748584371460927,382
Logistic Regression,Soups,0.3545994065281899,0.42985611510791366,0.3886178861788618,556
Logistic Regression,_macro_avg_,0.3947936476858952,0.45935711425412684,0.40882754338897,7150
Logistic Regression,_weighted_avg_,0.44556214797411964,0.4153846153846154,0.4116634270073294,7150
Multinomial Naive Bayes,Alcohol & Cocktails,0.0,0.0,0.0,110
Multinomial Naive Bayes,Appetizers & Starters,0.6666666666666666,0.0072992700729927005,0.01444043321299639,274
Multinomial Naive Bayes,Beverages (Non-Alcoholic),0.5270758122743683,0.5008576329331046,0.51363236587511,583
Multinomial Naive Bayes,Breakfast & Brunch,0.7337662337662337,0.6494252873563219,0.6890243902439024,522
Multinomial Naive Bayes,Desserts & Sweets,0.8571428571428571,0.028985507246376812,0.056074766355140186,207
Multinomial Naive Bayes,Mains,0.3614505321245566,0.7097523219814241,0.4789762340036563,1292
Multinomial Naive Bayes,Other,0.3025583982202447,0.27091633466135456,0.2858644245927483,1004
Multinomial Naive Bayes,Pasta / Noodles / Rice,0.3470004315925766,0.6677740863787376,0.4566884407838682,1204
Multinomial Naive Bayes,Salads & Cold Dishes,0.0,0.0,0.0,248
Multinomial Naive Bayes,Set Meals & Combos,0.7142857142857143,0.0390625,0.07407407407407407,256
Multinomial Naive Bayes,Sides & Accompaniments,0.26605504587155965,0.056640625,0.09339774557165861,512
Multinomial Naive Bayes,Snacks & Small Bites,0.2537313432835821,0.04450261780104712,0.0757238307349666,382
Multinomial Naive Bayes,Soups,0.49171270718232046,0.16007194244604317,0.24151967435549526,556
Multinomial Naive Bayes,_macro_avg_,0.4247265955700523,0.24117600968287714,0.22918587536950893,7150
Multinomial Naive Bayes,_weighted_avg_,0.40955980619633053,0.3883916083916084,0.33012233100056887,7150
Random Forest,Alcohol & Cocktails,0.2975206611570248,0.32727272727272727,0.3116883116883117,110
Random Forest,Appetizers & Starters,0.4008438818565401,0.3467153284671533,0.37181996086105673,274
Random Forest,Beverages (Non-Alcoholic),0.4821958456973294,0.5574614065180102,0.5171042163882259,583
Random Forest,Breakfast & Brunch,0.6352530541012217,0.6973180076628352,0.6648401826484018,522
Random Forest,Desserts & Sweets,0.4797297297297297,0.34299516908212563,0.4,207
Random Forest,Mains,0.3865951742627346,0.5580495356037152,0.4567627494456763,1292
Random Forest,Other,0.3420138888888889,0.19621513944223107,0.24936708860759493,1004
Random Forest,Pasta / Noodles / Rice,0.48874061718098416,0.4867109634551495,0.4877236787349147,1204
Random Forest,Salads & Cold Dishes,0.20673076923076922,0.17338709677419356,0.18859649122807018,248
Random Forest,Set Meals & Combos,0.43103448275862066,0.390625,0.4098360655737705,256
Random Forest,Sides & Accompaniments,0.28157894736842104,0.208984375,0.2399103139013453,512
Random Forest,Snacks & Small Bites,0.3064935064935065,0.3089005235602094,0.3076923076923077,382
Random Forest,Soups,0.37318840579710144,0.37050359712230213,0.37184115523465705,556
Random Forest,_macro_avg_,0.3932245357325286,0.3819337592277426,0.3828601940003332,7150
Random Forest,_weighted_avg_,0.40786673956391317,0.41524475524475524,0.40475667729776055,7150
